iter	Logloss
286	0.1607777233
287	0.1607176203
288	0.1606432573
289	0.1605853139
290	0.160518291
291	0.160452844
292	0.1603887929
293	0.1603052838
294	0.1602570226
295	0.1601863768
296	0.1601405962
297	0.160062582
298	0.1600066948
299	0.1599364342
300	0.1598773851
301	0.1598118723
302	0.1597707702
303	0.1597060845
304	0.1596399805
305	0.1595802861
306	0.1594824646
307	0.1593807433
308	0.159291621
309	0.1592278776
310	0.1591598666
311	0.159102401
312	0.1590607894
313	0.158993047
314	0.158933064
315	0.1588577614
316	0.1587912079
317	0.1587405237
318	0.1586684387
319	0.158591832
320	0.1585073765
321	0.1584068643
322	0.1583401475
323	0.1582798402
324	0.1582427312
325	0.1581936321
326	0.1581094568
327	0.1580337572
328	0.1579905656
329	0.1579333668
330	0.1578622174
331	0.1577999039
332	0.1577303904
333	0.1576731282
334	0.1576083591
335	0.1575403498
336	0.1574797699
337	0.1574080368
338	0.1573274094
339	0.1572913652
340	0.1572119602
341	0.1571460889
342	0.1570736395
343	0.1569863458
344	0.1569158251
345	0.1568445181
346	0.1567966263
347	0.1567463322
348	0.1567045589
349	0.1566306046
350	0.1565750225
351	0.156511229
352	0.1564400003
353	0.1563718285
354	0.1563056052
355	0.15625183
356	0.1562118945
357	0.1561661389
358	0.1560884899
359	0.156029841
360	0.1559953928
361	0.1559443867
362	0.1558855719
363	0.1558032919
364	0.1557382568
365	0.1556731184
366	0.1556014737
367	0.1555519726
368	0.1555141257
369	0.1554632063
370	0.1553877369
371	0.1553200378
372	0.1552576543
373	0.1552283274
374	0.1551486697
375	0.1550959109
376	0.1550297177
377	0.154972262
378	0.1549002554
379	0.1548679118
380	0.15480417
381	0.1547297795
382	0.1546266041
383	0.1545716674
384	0.1544981983
385	0.1544386873
386	0.1543841291
387	0.1543408716
388	0.1542904483
389	0.1542228143
390	0.1541789281
391	0.1541353396
392	0.1540770184
393	0.1540234517
394	0.1539747077
395	0.1539289446
396	0.1538524379
397	0.1538160961
398	0.1537418341
399	0.1536896006
400	0.1536180601
401	0.1535659217
402	0.1534743088
403	0.153404822
404	0.1533383344
405	0.1532621262
406	0.1531970937
407	0.1531581587
408	0.1531064714
409	0.1530712027
410	0.1530199981
411	0.1529812716
412	0.1529487703
413	0.1528954754
414	0.1528309156
415	0.1527863373
416	0.1527263769
417	0.1526577206
418	0.1526185446
419	0.1525673651
420	0.1525274829
421	0.1525035641
422	0.1524393378
423	0.1523522909
424	0.1523037454
425	0.1522417996
426	0.1521976032
427	0.1521615674
428	0.1521147571
429	0.1520636267
430	0.1520004744
431	0.151967121
432	0.1519066402
433	0.1518597999
434	0.1518155226
435	0.1517539654
436	0.1516985159
437	0.1516299563
438	0.1515663579
439	0.1515292006
440	0.1515161047
441	0.1514634643
442	0.1513879758
443	0.151337881
444	0.1512965938
445	0.1512240203
446	0.1511439023
447	0.1510775907
448	0.151035368
449	0.1509649382
450	0.1508975584
451	0.1508573427
452	0.1508201963
453	0.1507761166
454	0.1507090229
455	0.150658733
456	0.1505414161
457	0.1504481156
458	0.1504139559
459	0.1503695052
460	0.1503259901
461	0.1502703121
462	0.1502456612
463	0.1501855073
464	0.150131311
465	0.1500893001
466	0.150014717
467	0.1499386131
468	0.1498668725
469	0.1498287838
470	0.1497885281
471	0.1497741998
472	0.1497099143
473	0.1496460766
474	0.1495902919
475	0.1495132783
476	0.1494395124
477	0.1494201037
478	0.1493420911
479	0.1492759488
480	0.1492392342
481	0.1491986583
482	0.1491626734
483	0.1490974974
484	0.1490649094
485	0.1490129444
486	0.1489308095
487	0.1488770576
488	0.1488111337
489	0.1487540983
490	0.148712701
491	0.1486672815
492	0.1486215217
493	0.1485563307
494	0.148519035
495	0.1484794447
496	0.1484383443
497	0.1483912379
498	0.1483650136
499	0.1483278463
